Freq.	V(out)
1.00000000000000e+000	(-1.04455544956774e+002dB,1.84600707744783e+000°)
1.02329299228075e+000	(-1.04055257697200e+002dB,1.88895687916145e+000°)
1.04712854805090e+000	(-1.03654956920339e+002dB,1.93290359393970e+000°)
1.07151930523761e+000	(-1.03254641991155e+002dB,1.97787019191543e+000°)
1.09647819614318e+000	(-1.02854312244768e+002dB,2.02388016037448e+000°)
1.12201845430196e+000	(-1.02453966985437e+002dB,2.07095751454992e+000°)
1.14815362149688e+000	(-1.02053605484536e+002dB,2.11912680852276e+000°)
1.17489755493953e+000	(-1.01653226979610e+002dB,2.16841314636759e+000°)
1.20226443461741e+000	(-1.01252830672546e+002dB,2.21884219335112e+000°)
1.23026877081238e+000	(-1.00852415727672e+002dB,2.27044018736321e+000°)
1.25892541179417e+000	(-1.00451981270531e+002dB,2.32323395045724e+000°)
1.28824955169313e+000	(-1.00051526385635e+002dB,2.37725090054332e+000°)
1.31825673855641e+000	(-9.96510501149753e+001dB,2.43251906322845e+000°)
1.34896288259165e+000	(-9.92505514555591e+001dB,2.48906708374935e+000°)
1.38038426460288e+000	(-9.88500293579446e+001dB,2.54692423909036e+000°)
1.41253754462275e+000	(-9.84494827233027e+001dB,2.60612045015010e+000°)
1.44543977074593e+000	(-9.80489104019779e+001dB,2.66668629407652e+000°)
1.47910838816821e+000	(-9.76483111906781e+001dB,2.72865301667095e+000°)
1.51356124843621e+000	(-9.72476838300074e+001dB,2.79205254484608e+000°)
1.54881661891248e+000	(-9.68470270021326e+001dB,2.85691749924449e+000°)
1.58489319246111e+000	(-9.64463393277654e+001dB,2.92328120682288e+000°)
1.62181009735893e+000	(-9.60456193636637e+001dB,2.99117771355067e+000°)
1.65958690743756e+000	(-9.56448655995568e+001dB,3.06064179711311e+000°)
1.69824365246174e+000	(-9.52440764549263e+001dB,3.13170897960981e+000°)
1.73780082874937e+000	(-9.48432502762850e+001dB,3.20441554032003e+000°)
1.77827941003892e+000	(-9.44423853332894e+001dB,3.27879852833137e+000°)
1.81970085860998e+000	(-9.40414798156419e+001dB,3.35489577520952e+000°)
1.86208713666287e+000	(-9.36405318291708e+001dB,3.43274590756189e+000°)
1.90546071796325e+000	(-9.32395393922202e+001dB,3.51238835949562e+000°)
1.94984459975804e+000	(-9.28385004317797e+001dB,3.59386338496114e+000°)
1.99526231496888e+000	(-9.24374127790315e+001dB,3.67721206991037e+000°)
2.04173794466953e+000	(-9.20362741653769e+001dB,3.76247634430499e+000°)
2.08929613085404e+000	(-9.16350822176355e+001dB,3.84969899381555e+000°)
2.13796208950223e+000	(-9.12338344537773e+001dB,3.93892367135384e+000°)
2.18776162394955e+000	(-9.08325282774668e+001dB,4.03019490818824e+000°)
2.23872113856834e+000	(-9.04311609734962e+001dB,4.12355812476517e+000°)
2.29086765276777e+000	(-9.00297297022769e+001dB,4.21905964109322e+000°)
